2023-04-30 15:48:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8184 (http) with context path '/elastic-query-web-client'
2023-04-30 15:48:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8184 (http) with context path '/elastic-query-web-client'
2023-04-30 15:48:08 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - Started ElasticQueryWebClientApplication in 7.043 seconds (JVM running for 8.374)
2023-04-30 15:51:12 [http-nio-8184-exec-1] INFO  o.a.c.c.C.[.[.[/elastic-query-web-client] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 15:51:12 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-30 15:51:12 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-30 15:51:12 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2023-04-30 15:51:12 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2023-04-30 15:51:55 [http-nio-8184-exec-8] INFO  c.m.d.e.q.w.c.api.QueryController - Querying wit text: test
2023-04-30 15:51:55 [http-nio-8184-exec-8] INFO  c.m.d.e.q.w.c.s.i.TwitterElasticQueryWebClient - Querying by text test
2023-04-30 15:51:58 [http-nio-8184-exec-8] INFO  c.m.d.e.q.w.c.api.QueryController - responseModels: []
2023-04-30 15:51:58 [http-nio-8184-exec-8] INFO  c.m.d.e.q.w.c.api.QueryController - requestModel.getText(): test
2023-04-30 15:52:13 [http-nio-8184-exec-10] INFO  c.m.d.e.q.w.c.api.QueryController - Querying wit text: kafka
2023-04-30 15:52:13 [http-nio-8184-exec-10] INFO  c.m.d.e.q.w.c.s.i.TwitterElasticQueryWebClient - Querying by text kafka
